,Region,Department,Role_Category,Sentiment_Score,Salary_vs_Market,External_Risk_Factor,Work_Life_Score,Attrition_Risk_Min,Attrition_Risk_Avg,Attrition_Risk_Max,Key_Observations
0,United States,TikTok Operations,Engineering,2.5,-15%,TikTok Ban (Critical),2.3,35%,50%,65%,Supreme Court upheld ban multiple deadline extensions creating extreme uncertainty
1,United States,E-Commerce,Product Management,2.8,-20%,TikTok Ban (Critical),2.5,30%,45%,60%,Recent layoffs; Chinese executives replacing US staff; poor unit performance
2,United States,Content Moderation,Operations,3,-25%,AI Automation,2.8,25%,40%,55%,Shift to AI eliminating roles; low growth potential
3,United States,Engineering,AI/ML,3.8,-10%,TikTok Ban (High),3.2,15%,25%,35%,High demand specialists but regulatory uncertainty affects all US staff
4,Singapore,Regional HQ,Management,3.2,-12%,Regional Impact,3.8,20%,30%,40%,Secondary effects from US situation; high living costs
5,United Kingdom,Operations,Marketing,3.5,-18%,Brexit/US Spillover,3.2,18%,20%,38%,Uncertainty from global restructuring
6,China,Engineering,Software Development,3.8,0%,Stable,2.5,10%,15%,20%,Home market stable but long hours persist
7,Global,Content Moderation,Trust & Safety,2.8,-20%,AI Replacement,2.4,30%,45%,50%,Global AI shift affecting all regions
8,United States,TikTok Shop,Operations,2.5,-22%,Ban + Poor Performance,2.2,40%,55%,70%,Multiple pressures; ban threat plus business losses
9,China,Product,Product Management,3.5,-9%,Stable,2.8,12%,13%,23%,Competitive locally but work-life issues
